"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Affiliations","Authors with affiliations","Document Type","Publication Stage","Open Access","Source","EID"
"Jain S.; Rathi R.","Jain, Sheetal (57193238234); Rathi, Rubal (57442371600)","57193238234; 57442371600","Do consumer values and perceived readiness impact secondhand luxury consumption? A goal-framing theory approach","2023","Journal of Product and Brand Management","32","7","","973","987","14","4","10.1108/JPBM-10-2021-3703","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85148299030&doi=10.1108%2fJPBM-10-2021-3703&partnerID=40&md5=935c80ebf3f54ac512d9b6eb62177d68","Luxe Analytics, Delhi, India; School of Management, BML Munjal University, Gurgaon, India; IIM Vishakhapatnam, Vishakhapatnam, India","Jain S., Luxe Analytics, Delhi, India, IIM Vishakhapatnam, Vishakhapatnam, India; Rathi R., School of Management, BML Munjal University, Gurgaon, India","Article","Final","","Scopus","2-s2.0-85148299030"
"Vasanthawada S.R.S.; Puppala H.; Prasad P.R.C.","Vasanthawada, S.R.S. (57810167700); Puppala, H. (57189240188); Prasad, P.R.C. (7202701814)","57810167700; 57189240188; 7202701814","Assessing impact of land-use changes on land surface temperature and modelling future scenarios of Surat, India","2023","International Journal of Environmental Science and Technology","20","7","","7657","7670","13","2","10.1007/s13762-022-04385-4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85134526704&doi=10.1007%2fs13762-022-04385-4&partnerID=40&md5=f767e3fc73cfe4cd288babef3ec0a2a1","School of Engineering and Technology, BML Munjal University, Haryana, Gurgaon, 122413, India; Lab for Spatial Informatics, International Institute of Information Technology, Telangana, Hyderabad, 500032, India","Vasanthawada S.R.S., School of Engineering and Technology, BML Munjal University, Haryana, Gurgaon, 122413, India; Puppala H., School of Engineering and Technology, BML Munjal University, Haryana, Gurgaon, 122413, India; Prasad P.R.C., Lab for Spatial Informatics, International Institute of Information Technology, Telangana, Hyderabad, 500032, India","Article","Final","","Scopus","2-s2.0-85134526704"
"Das Dawn D.; Khan A.; Shaikh S.H.; Pal R.K.","Das Dawn, Debapratim (56543808800); Khan, Abhinandan (37665182000); Shaikh, Soharab Hossain (36761579500); Pal, Rajat Kumar (7201402133)","56543808800; 37665182000; 36761579500; 7201402133","A dictionary based model for bengali document classification","2023","Applied Intelligence","53","11","","14023","14042","19","1","10.1007/s10489-022-03955-w","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85140112423&doi=10.1007%2fs10489-022-03955-w&partnerID=40&md5=21705f93a10ab13fbb5756c3e2d428d9","Department of Computer Science and Engineering, University of Calcutta, Acharya Prafulla Chandra Roy Shiksha Prangan, JD-2, Sector-III, Saltlake, Kolkata, 700106, India; Product Development and Diversification, ARP Engineering, 147 Nilgunj Road, Kolkata, 700056, India; Department of Computer Science and Engineering, BML Munjal University, National Highway 8, 67KM Milestone, Haryana, Gurugram, 122413, India","Das Dawn D., Department of Computer Science and Engineering, University of Calcutta, Acharya Prafulla Chandra Roy Shiksha Prangan, JD-2, Sector-III, Saltlake, Kolkata, 700106, India; Khan A., Product Development and Diversification, ARP Engineering, 147 Nilgunj Road, Kolkata, 700056, India; Shaikh S.H., Department of Computer Science and Engineering, BML Munjal University, National Highway 8, 67KM Milestone, Haryana, Gurugram, 122413, India; Pal R.K., Department of Computer Science and Engineering, University of Calcutta, Acharya Prafulla Chandra Roy Shiksha Prangan, JD-2, Sector-III, Saltlake, Kolkata, 700106, India","Article","Final","","Scopus","2-s2.0-85140112423"
"Puppala H.; Saikia P.; Kocherlakota P.; Suriapparao D.V.","Puppala, Harish (57189240188); Saikia, Pallabi (57204648753); Kocherlakota, Pritam (57208510266); Suriapparao, Dadi V. (56194862200)","57189240188; 57204648753; 57208510266; 56194862200","Evaluating the applicability of neural network to determine the extractable temperature from a shallow reservoir of Puga geothermal field","2023","International Journal of Thermofluids","17","","100259","","","","0","10.1016/j.ijft.2022.100259","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85143506166&doi=10.1016%2fj.ijft.2022.100259&partnerID=40&md5=85e49a7f4b65a508b8cd2b813801d6c9","School of Engineering and Technology, BML Munjal University, Haryana, Gurgaon, 122413, India; Department of Computer Science and Engineering, Rajiv Gandhi Institute of Petroleum Technology, Uttar Pradesh, Jais, 229304, India; School of Technology, Pandit Deendayal Energy University, Gandhinagar, 382007, India","Puppala H., School of Engineering and Technology, BML Munjal University, Haryana, Gurgaon, 122413, India; Saikia P., Department of Computer Science and Engineering, Rajiv Gandhi Institute of Petroleum Technology, Uttar Pradesh, Jais, 229304, India; Kocherlakota P., School of Technology, Pandit Deendayal Energy University, Gandhinagar, 382007, India; Suriapparao D.V., School of Technology, Pandit Deendayal Energy University, Gandhinagar, 382007, India","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85143506166"
"Sajid M.; Husain A.; Reddy J.; Alresheedi M.T.; Al Yahya S.A.; Al-Rajy A.","Sajid, Mohammad (56230453200); Husain, Akhlaq (56081150000); Reddy, Jaideep (57222468859); Alresheedi, Mohammad T. (57208746411); Al Yahya, Sulaiman A. (55576653200); Al-Rajy, Ahmed (58159739000)","56230453200; 56081150000; 57222468859; 57208746411; 55576653200; 58159739000","Box dimension of the border of Kingdom of Saudi Arabia","2023","Heliyon","9","4","e14846","","","","0","10.1016/j.heliyon.2023.e14846","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85151003517&doi=10.1016%2fj.heliyon.2023.e14846&partnerID=40&md5=f8268929e67f4416a96ceb8abbfb96bc","Department of Mechanical Engineering, College of Engineering, Qassim University, Buraydah, 51452, Saudi Arabia; Department of Applied Sciences, BML Munjal University, Haryana, Gurgaon, 122413, India; School of Engineering & Technology, BML Munjal University, Haryana, Gurgaon, 122413, India; Department of Civil Engineering, College of Engineering, Qassim University, Buraydah, 51452, Saudi Arabia","Sajid M., Department of Mechanical Engineering, College of Engineering, Qassim University, Buraydah, 51452, Saudi Arabia; Husain A., Department of Applied Sciences, BML Munjal University, Haryana, Gurgaon, 122413, India; Reddy J., School of Engineering & Technology, BML Munjal University, Haryana, Gurgaon, 122413, India; Alresheedi M.T., Department of Civil Engineering, College of Engineering, Qassim University, Buraydah, 51452, Saudi Arabia; Al Yahya S.A., Department of Mechanical Engineering, College of Engineering, Qassim University, Buraydah, 51452, Saudi Arabia; Al-Rajy A., Department of Civil Engineering, College of Engineering, Qassim University, Buraydah, 51452, Saudi Arabia","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85151003517"
"Mokan M.; Shaikh S.H.; Relan D.; Gabrani G.","Mokan, Monika (58141506500); Shaikh, Soharab Hossain (36761579500); Relan, Devanjali (55662038700); Gabrani, Goldie (6602608380)","58141506500; 36761579500; 55662038700; 6602608380","Fundus image classification for diabetic retinopathy using deep learning","2023","Computational Intelligence Aided Systems for Healthcare Domain","","","","295","312","17","0","10.1201/9781003368342-13","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85161165966&doi=10.1201%2f9781003368342-13&partnerID=40&md5=e5f9e14474635b353a58759c365bbfda","Department of Computer Science and Engineering, BML Munjal University, Gurgaon, India; VIPS-TC College of Engineering, Delhi, India","Mokan M., Department of Computer Science and Engineering, BML Munjal University, Gurgaon, India; Shaikh S.H., Department of Computer Science and Engineering, BML Munjal University, Gurgaon, India; Relan D., Department of Computer Science and Engineering, BML Munjal University, Gurgaon, India; Gabrani G., VIPS-TC College of Engineering, Delhi, India","Book chapter","Final","","Scopus","2-s2.0-85161165966"
"Agrawal A.; Chopra R.; Sharma G.D.; Rao A.; Vasa L.; Budhwar P.","Agrawal, Anirudh (57199398500); Chopra, Ritika (57216964669); Sharma, Gagan Deep (53064562000); Rao, Amar (57344924300); Vasa, Laszlo (16317891500); Budhwar, Pawan (6701694690)","57199398500; 57216964669; 53064562000; 57344924300; 16317891500; 6701694690","Work from home practices as corporate strategy- an integrative review","2023","Heliyon","9","9","e19894","","","","0","10.1016/j.heliyon.2023.e19894","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85171466958&doi=10.1016%2fj.heliyon.2023.e19894&partnerID=40&md5=e352af5344a7a12ba6a1509e40adecfa","Jindal Global Business School, O.P Jindal University, Sonipat, India; University School of Management Studies, Guru Gobind Singh Indraprastha University, Sector 16C, Dwarka, New Delhi, 110078, India; Jagan Institute of Management Studies, Sector 5, Rohini, India; School of Management, BML Munjal University, 67th KM Stone, NH-8, Haryana, Gurugram, 122413, India; School of Economics, Széchenyi István University, Hungary; Aston Business School, Aston University, Birmingham, United Kingdom","Agrawal A., Jindal Global Business School, O.P Jindal University, Sonipat, India; Chopra R., University School of Management Studies, Guru Gobind Singh Indraprastha University, Sector 16C, Dwarka, New Delhi, 110078, India, Jagan Institute of Management Studies, Sector 5, Rohini, India; Sharma G.D., University School of Management Studies, Guru Gobind Singh Indraprastha University, Sector 16C, Dwarka, New Delhi, 110078, India; Rao A., School of Management, BML Munjal University, 67th KM Stone, NH-8, Haryana, Gurugram, 122413, India; Vasa L., School of Economics, Széchenyi István University, Hungary; Budhwar P., Aston Business School, Aston University, Birmingham, United Kingdom","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85171466958"
"Singh A.P.","Singh, Akhilendra Pratap (58351421300)","58351421300","Towards ‘the environmental state’: revelations from a design-oriented enquiry of environmental constitutionalism","2023","Environmental Law Review","25","2","","120","134","14","0","10.1177/14614529231166298","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85162992189&doi=10.1177%2f14614529231166298&partnerID=40&md5=1d5922bddd44ac82fb566d481175490b","School of Law, BML Munjal University, Gurugram, India","Singh A.P., School of Law, BML Munjal University, Gurugram, India","Article","Final","","Scopus","2-s2.0-85162992189"
"Prakash S.; Kakumanu U.; Badhotiya G.K.; Singh R.","Prakash, Surya (58602586200); Kakumanu, Udaykiran (58292288600); Badhotiya, Gaurav Kumar (57194168642); Singh, Ranbir (57309526600)","58602586200; 58292288600; 57194168642; 57309526600","Analysis of potato supply chain in Indian context using ISM","2023","AIP Conference Proceedings","2521","","040020","","","","0","10.1063/5.0113701","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85160416657&doi=10.1063%2f5.0113701&partnerID=40&md5=aeefc6e6a66d66bb911b670ee7b58493","BML Munjal University, NH-8, 67 km milestone,Sidhrawali, Haryana, Gurgaon, 122413, India; Graphic Era (Deemed to Be University), Dehradun, India","Prakash S., BML Munjal University, NH-8, 67 km milestone,Sidhrawali, Haryana, Gurgaon, 122413, India; Kakumanu U., BML Munjal University, NH-8, 67 km milestone,Sidhrawali, Haryana, Gurgaon, 122413, India; Badhotiya G.K., Graphic Era (Deemed to Be University), Dehradun, India; Singh R., BML Munjal University, NH-8, 67 km milestone,Sidhrawali, Haryana, Gurgaon, 122413, India","Conference paper","Final","","Scopus","2-s2.0-85160416657"
"Roy S.; Paul A.","Roy, Subaran (57208440541); Paul, Anusree (58605373900)","57208440541; 58605373900","Role of Public Debt in Indian States in the Post-Reform Era","2023","South Asia Economic Journal","24","2","","180","215","35","0","10.1177/13915614231193997","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85171675296&doi=10.1177%2f13915614231193997&partnerID=40&md5=08c9810ce13a2ef1c56b8da422ddb111","Jindal School of Government and Public Policy, O P Jindal Global University, Haryana, Sonipat, India; School of Economics and Commerce, BML Munjal University, Haryana, Gurgaon, India","Roy S., Jindal School of Government and Public Policy, O P Jindal Global University, Haryana, Sonipat, India; Paul A., School of Economics and Commerce, BML Munjal University, Haryana, Gurgaon, India","Article","Final","","Scopus","2-s2.0-85171675296"
